a,b,n_a,n_b,median_a,median_b,U,p,p_bonf,r_rb,sig
Control,Warm,1140,1140,2.0,2.125,576133.5,2.565005646800428e-06,2.5650056468004277e-05,0.11336795937211452,***
Control,Emotional,1140,1140,2.0,2.625,350299.5,1.1438629741550719e-81,1.1438629741550718e-80,0.46091181902123735,***
Control,Hostile,1140,1140,2.0,2.0,702566.5,0.0007559669302255597,0.007559669302255597,-0.08120421668205591,**
Control,Logical,1140,1140,2.0,1.875,722889.0,3.1123472638860548e-06,3.112347263886055e-05,-0.11247922437673141,***
Warm,Emotional,1140,1140,2.125,2.625,430716.0,1.3498154143731225e-44,1.3498154143731225e-43,0.3371560480147737,***
Warm,Hostile,1140,1140,2.125,2.0,775436.5,1.0879545457579403e-15,1.0879545457579404e-14,-0.19334641428131727,***
Warm,Logical,1140,1140,2.125,1.875,789753.0,4.377198372742946e-19,4.3771983727429464e-18,-0.2153785780240074,***
Emotional,Hostile,1140,1140,2.625,2.0,1006337.5,9.990169779847123e-115,9.990169779847122e-114,-0.5486880578639581,***
Emotional,Logical,1140,1140,2.625,1.875,988368.5,1.2103887980328058e-103,1.2103887980328058e-102,-0.5210349338257925,***
Hostile,Logical,1140,1140,2.0,1.875,676838.5,0.08458820418530216,0.8458820418530216,-0.0416104955370884,ns
