a,b,n_a,n_b,median_a,median_b,U,p,p_bonf,r_rb,sig
Control,Warm,1140,1140,2.25,2.0,782112.5,3.1792120324419875e-17,3.1792120324419873e-16,-0.20362034472145285,***
Control,Emotional,1140,1140,2.25,1.5,990180.0,1.6036255952502617e-104,1.6036255952502617e-103,-0.5238227146814405,***
Control,Hostile,1140,1140,2.25,2.125,650173.5,0.9809914861541366,1.0,-0.0005747922437673303,ns
Control,Logical,1140,1140,2.25,2.25,652273.5,0.8745248709503621,1.0,-0.0038065558633426644,ns
Warm,Emotional,1140,1140,2.0,1.5,876928.5,1.333932624159164e-47,1.3339326241591642e-46,-0.3495360110803325,***
Warm,Hostile,1140,1140,2.0,2.125,509834.0,4.349372618082563e-19,4.3493726180825625e-18,0.21539858417974767,***
Warm,Logical,1140,1140,2.0,2.25,518979.0,7.288867262869275e-17,7.288867262869275e-16,0.2013250230840259,***
Emotional,Hostile,1140,1140,1.5,2.125,281278.5,3.9438558300501486e-122,3.943855830050149e-121,0.5671306555863342,***
Emotional,Logical,1140,1140,1.5,2.25,309221.0,1.3204125049274743e-104,1.3204125049274744e-103,0.5241289627577717,***
Hostile,Logical,1140,1140,2.125,2.25,656362.0,0.6752751845808734,1.0,-0.010098491843644197,ns
