a,b,n_a,n_b,median_a,median_b,U,p,p_bonf,r_rb,sig
Control,Warm,1140,1140,2.25,2.0,794802.5,1.8821449397041432e-20,1.8821449397041431e-19,-0.22314943059402892,***
Control,Emotional,1140,1140,2.25,1.5,1065776.0,2.9186494416167276e-155,2.9186494416167275e-154,-0.6401600492459218,***
Control,Hostile,1140,1140,2.25,2.125,653530.5,0.8104267945484367,1.0,-0.005740997229916944,ns
Control,Logical,1140,1140,2.25,2.375,622610.0,0.07976517252776526,0.7976517252776526,0.04184364419821485,ns
Warm,Emotional,1140,1140,2.0,1.5,948838.5,4.0165618087526377e-81,4.016561808752637e-80,-0.4602008310249308,***
Warm,Hostile,1140,1140,2.0,2.125,496758.0,1.2670985701229954e-22,1.2670985701229955e-21,0.23552169898430286,***
Warm,Logical,1140,1140,2.0,2.375,484639.5,4.0542355508742887e-26,4.054235550874289e-25,0.2541712834718375,***
Emotional,Hostile,1140,1140,1.5,2.125,199533.0,1.1708101864599788e-181,1.1708101864599788e-180,0.6929316712834719,***
Emotional,Logical,1140,1140,1.5,2.375,230196.0,3.629118900400268e-158,3.6291189004002685e-157,0.6457433056325024,***
Hostile,Logical,1140,1140,2.125,2.375,626562.0,0.1340493886208607,1.0,0.0357617728531856,ns
