turn,comparison,n,spearman_rho,p,p_fdr
1,is_against vs correction,680,0.7671,0.0,0.0
1,is_against vs rebuttal,680,0.58192,0.0,0.0
2,is_against vs correction,680,0.74078,0.0,0.0
2,is_against vs rebuttal,680,0.52425,0.0,0.0
3,is_against vs correction,680,0.77301,0.0,0.0
3,is_against vs rebuttal,680,0.60628,0.0,0.0
4,is_against vs correction,680,0.77106,0.0,0.0
4,is_against vs rebuttal,680,0.57874,0.0,0.0
5,is_against vs correction,680,0.68904,0.0,0.0
5,is_against vs rebuttal,680,0.59477,0.0,0.0
6,is_against vs correction,680,0.57628,0.0,0.0
6,is_against vs rebuttal,680,0.54992,0.0,0.0
7,is_against vs correction,680,0.6126,0.0,0.0
7,is_against vs rebuttal,680,0.55225,0.0,0.0
8,is_against vs correction,680,0.58825,0.0,0.0
8,is_against vs rebuttal,680,0.53008,0.0,0.0
