turn,comparison,n,spearman_rho,p,p_fdr
1,is_against vs correction,680,0.77667,0.0,0.0
1,is_against vs rebuttal,680,0.55274,0.0,0.0
2,is_against vs correction,680,0.75339,0.0,0.0
2,is_against vs rebuttal,680,0.51616,0.0,0.0
3,is_against vs correction,680,0.77042,0.0,0.0
3,is_against vs rebuttal,680,0.58199,0.0,0.0
4,is_against vs correction,680,0.76613,0.0,0.0
4,is_against vs rebuttal,680,0.57036,0.0,0.0
5,is_against vs correction,680,0.66105,0.0,0.0
5,is_against vs rebuttal,680,0.56946,0.0,0.0
6,is_against vs correction,680,0.56933,0.0,0.0
6,is_against vs rebuttal,680,0.54482,0.0,0.0
7,is_against vs correction,680,0.59982,0.0,0.0
7,is_against vs rebuttal,680,0.53714,0.0,0.0
8,is_against vs correction,680,0.53927,0.0,0.0
8,is_against vs rebuttal,680,0.45949,0.0,0.0
