turn,comparison,n,spearman_rho,p,p_fdr
1,is_against vs correction,292,0.62816,0.0,0.0
1,is_against vs rebuttal,292,0.19728,0.0007,0.0007
2,is_against vs correction,292,0.62078,0.0,0.0
2,is_against vs rebuttal,292,0.31909,0.0,0.0
3,is_against vs correction,292,0.66318,0.0,0.0
3,is_against vs rebuttal,292,0.44125,0.0,0.0
4,is_against vs correction,292,0.6795,0.0,0.0
4,is_against vs rebuttal,292,0.48758,0.0,0.0
5,is_against vs correction,292,0.65344,0.0,0.0
5,is_against vs rebuttal,292,0.45923,0.0,0.0
6,is_against vs correction,292,0.49522,0.0,0.0
6,is_against vs rebuttal,292,0.38671,0.0,0.0
7,is_against vs correction,292,0.5388,0.0,0.0
7,is_against vs rebuttal,292,0.43674,0.0,0.0
8,is_against vs correction,292,0.24092,3e-05,3e-05
8,is_against vs rebuttal,292,0.25693,1e-05,1e-05
