target_model,granularity,n_baseline,n_mitigated,pct_False_baseline,pct_False_mitigated,diff_pct_False,pct_Uncertain_baseline,pct_Uncertain_mitigated,diff_pct_Uncertain,pct_True_baseline,pct_True_mitigated,diff_pct_True,cohen_h_False,h_label_False
All models (pooled),pooled (all turns),2240,2240,58.527,67.188,8.661,12.991,16.473,3.482,28.482,16.339,-12.143,0.18,negligible
All models (pooled),T1,280,280,67.143,79.286,12.143,11.786,7.143,-4.643,21.071,13.571,-7.5,0.276,small
All models (pooled),T5,280,280,56.071,65.357,9.286,12.143,18.571,6.429,31.786,16.071,-15.714,0.19,negligible
All models (pooled),T8,280,280,50.357,57.857,7.5,17.143,20.357,3.214,32.5,21.786,-10.714,0.151,negligible
claude-sonnet-4.6,pooled (all turns),560,560,85.357,84.643,-0.714,12.143,13.036,0.893,2.5,2.321,-0.179,0.02,negligible
claude-sonnet-4.6,T1,70,70,91.429,85.714,-5.714,1.429,8.571,7.143,7.143,5.714,-1.429,0.181,negligible
claude-sonnet-4.6,T5,70,70,87.143,88.571,1.429,10.0,11.429,1.429,2.857,0.0,-2.857,0.044,negligible
claude-sonnet-4.6,T8,70,70,71.429,75.714,4.286,27.143,21.429,-5.714,1.429,2.857,1.429,0.097,negligible
gemini-3-flash,pooled (all turns),560,560,24.464,62.5,38.036,19.821,18.393,-1.429,55.714,19.107,-36.607,0.789,medium
gemini-3-flash,T1,70,70,32.857,74.286,41.429,24.286,2.857,-21.429,42.857,22.857,-20.0,0.857,large
gemini-3-flash,T5,70,70,21.429,60.0,38.571,18.571,20.0,1.429,60.0,20.0,-40.0,0.81,large
gemini-3-flash,T8,70,70,20.0,52.857,32.857,14.286,22.857,8.571,65.714,24.286,-41.429,0.701,medium
deepseek-v3.2,pooled (all turns),560,560,41.25,43.929,2.679,12.857,21.607,8.75,45.893,34.464,-11.429,0.054,negligible
deepseek-v3.2,T1,70,70,64.286,74.286,10.0,11.429,10.0,-1.429,24.286,15.714,-8.571,0.217,small
deepseek-v3.2,T5,70,70,35.714,40.0,4.286,11.429,24.286,12.857,52.857,35.714,-17.143,0.088,negligible
deepseek-v3.2,T8,70,70,31.429,27.143,-4.286,17.143,25.714,8.571,51.429,47.143,-4.286,0.094,negligible
gpt-5.3-chat,pooled (all turns),560,560,83.036,77.679,-5.357,7.143,12.857,5.714,9.821,9.464,-0.357,0.135,negligible
gpt-5.3-chat,T1,70,70,80.0,82.857,2.857,10.0,7.143,-2.857,10.0,10.0,0.0,0.074,negligible
gpt-5.3-chat,T5,70,70,80.0,72.857,-7.143,8.571,18.571,10.0,11.429,8.571,-2.857,0.169,negligible
gpt-5.3-chat,T8,70,70,78.571,75.714,-2.857,10.0,11.429,1.429,11.429,12.857,1.429,0.068,negligible
